"ID";"TCM_DN";"Rev";"ClientCode";"LastTrn";"LastTrnClient"
"9922";"4355-NN-VD-AC157210019 Imported at  02-10-2023 09:55:04";;;;
"9923";"4355-NN-VD-AC157210020 Imported at  02-10-2023 09:55:05";;;;
"9924";"4355-NN-VD-ES157210008 Imported at  02-10-2023 09:55:06";;;"50-TTMCP-01003";"RLPP-TCPTM-00287"
"9925";"4355-NN-VD-OM157210024 Imported at  02-10-2023 09:55:07";;;;
"9926";"4355-NN-VD-AC157210017 Imported at  02-10-2023 09:55:09";;;"50-TTMCP-01222";
"9927";"4355-NN-VD-EC157210013 Imported at  02-10-2023 09:55:10";;;"50-TTMCP-01000";"RLPP-TCPTM-00290"
"9928";"4355-NN-VD-QT157210025 Imported at  02-10-2023 09:55:11";;;;
"9929";"4355-NN-VD-QT157210011 Imported at  02-10-2023 09:55:12";;;"50-TTMCP-00987";
"9930";"4355-NN-VD-QC157210029 Imported at  02-10-2023 09:55:13";;;"50-TTMCP-00988";
"9931";"4355-NN-VD-AC157210022 Imported at  02-10-2023 09:55:14";;;;
"9932";"4355-NN-VD-AC157210018 Imported at  02-10-2023 09:55:15";;;;
"9933";"4355-NN-VD-QC157210030 Imported at  02-10-2023 09:55:17";;;"50-TTMCP-00988";
"9934";"4355-NN-VD-QC157210027 Imported at  02-10-2023 09:55:18";;;"50-TTMCP-01221";
"9935";"4355-NN-VD-EC157210016 Imported at  02-10-2023 09:55:19";;;;
"9936";"4355-NN-VD-AC157210023 Imported at  02-10-2023 09:55:20";;;;
"9937";"4355-NN-VD-QT157210034 Imported at  02-10-2023 09:55:21";;;;
"9938";"4355-NN-VD-QT157210035 Imported at  02-10-2023 09:55:22";;;;
"9939";"4355-NN-VD-QC157210032 Imported at  02-10-2023 09:55:22";;;"50-TTMCP-00988";
"9940";"4355-NN-VD-AC157210021 Imported at  02-10-2023 09:55:24";;;;
"9941";"4355-NN-VD-QC157210028 Imported at  02-10-2023 09:55:25";;;"50-TTMCP-01221";
"9942";"4355-NN-VD-QT157210039 Imported at  02-10-2023 09:55:26";;;;
"9943";"4355-NN-VD-QT157210040 Imported at  02-10-2023 09:55:27";;;;
"9944";"4355-NN-VD-QT157210037 Imported at  02-10-2023 09:55:28";;;;
"9945";"4355-NN-VD-QT157210026 Imported at  02-10-2023 09:55:29";;;;
"9946";"4355-NN-VD-QT157210033 Imported at  02-10-2023 09:55:30";;;;
"9947";"4355-NN-VD-EG157210045 Imported at  02-10-2023 09:55:31";;;"50-TTMCP-01002";"RLPP-TCPTM-00290"
"9948";"4355-NN-VD-EG157210042 Imported at  02-10-2023 09:55:33";;;"50-TTMCP-01002";"RLPP-TCPTM-00290"
"9949";"4355-NN-VD-EG157210044 Imported at  02-10-2023 09:55:34";;;"50-TTMCP-01002";"RLPP-TCPTM-00290"
"9950";"4355-NN-VD-QC157210031 Imported at  02-10-2023 09:55:35";;;"50-TTMCP-00988";
"9951";"4355-NN-VD-QT157210038 Imported at  02-10-2023 09:55:37";;;;
"9952";"4355-NN-VD-EE157210047 Imported at  02-10-2023 09:55:38";;;"50-TTMCP-01001";"RLPP-TCPTM-00290"
"9953";"4355-NN-VD-EE157210050 Imported at  02-10-2023 09:55:40";;;"2050-TTMCP-01423";"RLPP-TCPTM-00290"
"9954";"4355-NN-VD-EE157210049 Imported at  02-10-2023 09:55:41";;;"2050-TTMCP-01458";"RLPP-TCPTM-00290"
"9955";"4355-NN-VD-QT157210036 Imported at  02-10-2023 09:55:43";;;;
"9956";"4355-NN-VD-EE157210052 Imported at  02-10-2023 09:55:44";;;"50-TTMCP-01001";"RLPP-TCPTM-00290"
"9957";"4355-NN-VD-EG157210043 Imported at  02-10-2023 09:55:45";;;"50-TTMCP-01002";"RLPP-TCPTM-00290"
"9958";"4355-NN-VD-EE157210054 Imported at  02-10-2023 09:55:45";;;"50-TTMCP-01001";"RLPP-TCPTM-00290"
"9959";"4355-NN-VD-EG157210055 Imported at  02-10-2023 09:55:47";;;"50-TTMCP-01062";"RLPP-TCPTM-00238"
"9960";"4355-NN-VD-EE157210048 Imported at  02-10-2023 09:55:48";;;"2050-TTMCP-01458";"RLPP-TCPTM-00290"
"9961";"4355-NN-VD-EG157210041 Imported at  02-10-2023 09:55:49";;;"50-TTMCP-01002";"RLPP-TCPTM-00290"
"9962";"4355-NN-VD-EG157210059 Imported at  02-10-2023 09:55:50";;;;
"9963";"4355-NN-VD-EG157210060 Imported at  02-10-2023 09:55:51";;;;
"9964";"4355-NN-VD-EG157210057 Imported at  02-10-2023 09:55:52";;;"50-TTMCP-01407";"RLPP-TCPTM-00293"
"9965";"4355-NN-VD-EE157210053 Imported at  02-10-2023 09:55:53";;;"50-TTMCP-01001";"RLPP-TCPTM-00290"
"9966";"4355-NN-VD-EE157210046 Imported at  02-10-2023 09:55:54";;;"50-TTMCP-01001";"RLPP-TCPTM-00290"
"9967";"4355-NN-VD-EG157210064 Imported at  02-10-2023 09:55:55";;;;
"9968";"4355-NN-VD-ED157210065 Imported at  02-10-2023 09:55:56";;;;
"9969";"4355-NN-VD-ED157210058 Imported at  02-10-2023 09:55:58";;;"50-TTMCP-01406";"RLPP-TCPTM-00293"
"9970";"4355-NN-VD-EE157210051 Imported at  02-10-2023 09:55:59";;;"2050-TTMCP-01458";"RLPP-TCPTM-00290"
"9971";"4355-NN-VD-EG157210069 Imported at  02-10-2023 09:56:00";;;;
"9972";"4355-NN-VD-EG157210070 Imported at  02-10-2023 09:56:01";;;;
"9973";"4355-NN-VD-EG157210062 Imported at  02-10-2023 09:56:02";;;;
"9974";"4355-NN-VD-ED157210063 Imported at  02-10-2023 09:56:03";;;;
"9975";"4355-NN-VD-ED157210056 Imported at  02-10-2023 09:56:05";;;"50-TTMCP-01063";"RLPP-TCPTM-00238"
"9976";"4355-NN-VD-EG157210074 Imported at  02-10-2023 09:56:07";;;;
"9977";"4355-NN-VD-EG157210075 Imported at  02-10-2023 09:56:08";;;;
"9978";"4355-NN-VD-ED157210067 Imported at  02-10-2023 09:56:09";;;;
"9979";"4355-NN-VD-EG157210061 Imported at  02-10-2023 09:56:11";;;;
"9980";"4355-NN-VD-EG157210079 Imported at  02-10-2023 09:56:12";;;;
"9981";"4355-NN-VD-EG157210068 Imported at  02-10-2023 09:56:13";;;;
"9982";"4355-NN-VD-EG157210072 Imported at  02-10-2023 09:56:15";;;;
"9983";"4355-NN-VD-EG157210066 Imported at  02-10-2023 09:56:17";;;;
"9984";"4355-NN-VD-EG157210080 Imported at  02-10-2023 09:56:18";;;;
"9985";"4355-NN-VD-EG157210084 Imported at  02-10-2023 09:56:19";;;;
"9986";"4355-NN-VD-EG157210071 Imported at  02-10-2023 09:56:21";;;;
"9987";"4355-NN-VD-EG157210077 Imported at  02-10-2023 09:56:23";;;;
"9988";"4355-NN-VD-EG157210073 Imported at  02-10-2023 09:56:25";;;;
"9989";"4355-NN-VD-EG157210085 Imported at  02-10-2023 09:56:26";;;;
"9990";"4355-NN-VD-EG157210089 Imported at  02-10-2023 09:56:27";;;;
"9991";"4355-NN-VD-EG157210082 Imported at  02-10-2023 09:56:29";;;;
"9992";"4355-NN-VD-EG157210076 Imported at  02-10-2023 09:56:30";;;;
"9993";"4355-NN-VD-EG157210078 Imported at  02-10-2023 09:56:31";;;;
"9994";"4355-NN-VD-EG157210090 Imported at  02-10-2023 09:56:32";;;;
"9995";"4355-NN-VD-EG157210094 Imported at  02-10-2023 09:56:34";;;;
"9996";"4355-NN-VD-EG157210087 Imported at  02-10-2023 09:56:35";;;;
"9997";"4355-NN-VD-EG157210081 Imported at  02-10-2023 09:56:36";;;;
"9998";"4355-NN-VD-EG157210083 Imported at  02-10-2023 09:56:38";;;;
"9999";"4355-NN-VD-EG157210092 Imported at  02-10-2023 09:56:40";;;;
"10000";"4355-NN-VD-EG157210099 Imported at  02-10-2023 09:56:41";;;;
"10001";"4355-NN-VD-EG157210095 Imported at  02-10-2023 09:56:42";;;;
"10002";"4355-NN-VD-EG157210086 Imported at  02-10-2023 09:56:44";;;;
"10003";"4355-NN-VD-EG157210088 Imported at  02-10-2023 09:56:46";;;;
"10004";"4355-NN-VD-EG157210097 Imported at  02-10-2023 09:56:47";;;;
"10005";"4355-NN-VD-EG157210104 Imported at  02-10-2023 09:56:48";;;;
"10006";"4355-NN-VD-EG157210100 Imported at  02-10-2023 09:56:50";;;;
"10007";"4355-NN-VD-EG157210091 Imported at  02-10-2023 09:56:52";;;;
"10008";"4355-NN-VD-EG157210093 Imported at  02-10-2023 09:56:54";;;;
"10009";"4355-NN-VD-EG157210102 Imported at  02-10-2023 09:56:56";;;;
"10010";"4355-NN-VD-EG157210109 Imported at  02-10-2023 09:57:15";;;;
"10011";"4355-NN-VD-EG157210105 Imported at  02-10-2023 09:57:16";;;;
"10012";"4355-NN-VD-EG157210096 Imported at  02-10-2023 09:57:18";;;;
"10013";"4355-NN-VD-EG157210114 Imported at  02-10-2023 09:57:19";;;;
"10014";"4355-NN-VD-EG157210107 Imported at  02-10-2023 09:57:20";;;;
"10015";"4355-NN-VD-EG157210098 Imported at  02-10-2023 09:57:21";;;;
"10016";"4355-NN-VD-EG157210110 Imported at  02-10-2023 09:57:22";;;;
"10017";"4355-NN-VD-EG157210101 Imported at  02-10-2023 09:57:23";;;;
"10018";"4355-NN-VD-EG157210119 Imported at  02-10-2023 09:57:24";;;;
"10019";"4355-NN-VD-EG157210112 Imported at  02-10-2023 09:57:25";;;;
"10020";"4355-NN-VD-EG157210103 Imported at  02-10-2023 09:57:26";;;;
"10021";"4355-NN-VD-EG157210106 Imported at  02-10-2023 09:57:27";;;;
"10022";"4355-NN-VD-EG157210124 Imported at  02-10-2023 09:57:28";;;;
"10023";"4355-NN-VD-EG157210115 Imported at  02-10-2023 09:57:29";;;;
"10024";"4355-NN-VD-EG157210117 Imported at  02-10-2023 09:57:30";;;;
"10025";"4355-NN-VD-EG157210111 Imported at  02-10-2023 09:57:31";;;;
"10026";"4355-NN-VD-EG157210108 Imported at  02-10-2023 09:57:32";;;;
"10027";"4355-NN-VD-EG157210129 Imported at  02-10-2023 09:57:34";;;;
"10028";"4355-NN-VD-EG157210122 Imported at  02-10-2023 09:57:35";;;;
"10029";"4355-NN-VD-EG157210120 Imported at  02-10-2023 09:57:36";;;;
"10030";"4355-NN-VD-EG157210113 Imported at  02-10-2023 09:57:37";;;;
"10031";"4355-NN-VD-EG157210116 Imported at  02-10-2023 09:57:38";;;;
"10032";"4355-NN-VD-EG157210127 Imported at  02-10-2023 09:57:39";;;;
"10033";"4355-NN-VD-EG157210125 Imported at  02-10-2023 09:57:40";;;;
"10034";"4355-NN-VD-EG157210134 Imported at  02-10-2023 09:57:41";;;;
"10035";"4355-NN-VD-EG157210121 Imported at  02-10-2023 09:57:42";;;;
"10036";"4355-NN-VD-EG157210118 Imported at  02-10-2023 09:57:43";;;;
"10037";"4355-NN-VD-EG157210132 Imported at  02-10-2023 09:57:44";;;;
"10038";"4355-NN-VD-EG157210130 Imported at  02-10-2023 09:57:46";;;;
"10039";"4355-NN-VD-EG157210139 Imported at  02-10-2023 09:57:47";;;;
"10040";"4355-NN-VD-EG157210126 Imported at  02-10-2023 09:57:48";;;;
"10041";"4355-NN-VD-EG157210123 Imported at  02-10-2023 09:57:49";;;;
"10042";"4355-NN-VD-EG157210137 Imported at  02-10-2023 09:57:50";;;;
"10043";"4355-NN-VD-EG157210135 Imported at  02-10-2023 09:57:52";;;;
"10044";"4355-NN-VD-EG157210144 Imported at  02-10-2023 09:57:53";;;;
"10045";"4355-NN-VD-EG157210131 Imported at  02-10-2023 09:57:55";;;;
"10046";"4355-NN-VD-EG157210128 Imported at  02-10-2023 09:57:56";;;;
"10047";"4355-NN-VD-EG157210140 Imported at  02-10-2023 09:57:57";;;;
"10048";"4355-NN-VD-PS157210149 Imported at  02-10-2023 09:57:58";;;;
"10049";"4355-NN-VD-EG157210142 Imported at  02-10-2023 09:58:03";;;;
"10050";"4355-NN-VD-EG157210133 Imported at  02-10-2023 09:58:04";;;;
"10051";"4355-NN-VD-EG157210136 Imported at  02-10-2023 09:58:05";;;;
"10052";"4355-NN-VD-EG157210145 Imported at  02-10-2023 09:58:06";;;;
"10053";"4355-NN-VD-DT157210154 Imported at  02-10-2023 09:58:07";;;;
"10054";"4355-NN-VD-EG157210147 Imported at  02-10-2023 09:58:09";;;;
"10055";"4355-NN-VD-EG157210141 Imported at  02-10-2023 09:58:10";;;;
"10056";"4355-NN-VD-EG157210138 Imported at  02-10-2023 09:58:11";;;;
"10057";"4355-NN-VD-PP157210150 Imported at  02-10-2023 09:58:12";;;;
"10058";"4355-NN-VD-GP157210159 Imported at  02-10-2023 09:58:14";;;;
"10059";"4355-NN-VD-QT157210152 Imported at  02-10-2023 09:58:15";;;;
"10060";"4355-NN-VD-EG157210146 Imported at  02-10-2023 09:58:16";;;;
"10061";"4355-NN-VD-DS157210155 Imported at  02-10-2023 09:58:18";;;;
"10062";"4355-NN-VD-EG157210143 Imported at  02-10-2023 09:58:19";;;;
"10063";"4355-NN-VD-ML157210164 Imported at  02-10-2023 09:58:20";;;;
"10064";"4355-NN-VD-DP157210157 Imported at  02-10-2023 09:58:21";;;;
"10065";"4355-NN-VD-PS157210151 Imported at  02-10-2023 09:58:22";;;;
"10066";"4355-NN-VD-GT157210160 Imported at  02-10-2023 09:58:23";;;;
"10067";"4355-NN-VD-EG157210148 Imported at  02-10-2023 09:58:24";;;;
"10068";"4355-NN-VD-MB157210169 Imported at  02-10-2023 09:58:25";;;;
"10069";"4355-NN-VD-DI157210156 Imported at  02-10-2023 09:58:26";;;;
"10070";"4355-NN-VD-OL157210162 Imported at  02-10-2023 09:58:27";;;;
"10071";"4355-NN-VD-MB157210165 Imported at  02-10-2023 09:58:29";;;;
"10072";"4355-NN-VD-DT157210153 Imported at  02-10-2023 09:58:30";;;;
"10073";"4355-NN-VD-ES157210161 Imported at  02-10-2023 09:58:31";;;;
"10074";"4355-NN-VD-DB157210167 Imported at  02-10-2023 09:58:32";;;;
"10075";"4355-NN-VD-GP157210158 Imported at  02-10-2023 09:58:34";;;;
"10076";"4355-NN-VD-DL157210166 Imported at  02-10-2023 09:58:35";;;;
"10077";"4355-NN-VD-OM157210163 Imported at  02-10-2023 09:58:36";;;;
"10078";"4355-NN-VD-ML157210168 Imported at  02-10-2023 09:58:37";;;;
"10079";"4355-CD-VD-QC136520041";;;;
"10080";"4355-CD-VD-QC136520021";;;;
"10081";"4355-CD-VD-QC136520011";;;;
"10082";"4355-CD-VD-QC136520061";;;;
"10083";"4355-CD-VD-QC136520051";;;;
"10084";"4355-CD-VD-QC136520031";;;;
"10085";"4355-CD-VD-QC136520081";;;;
"10086";"4355-CD-VD-QC136520071";;;;
"10087";"4355-CD-VD-QC136520091";;;;
"10088";"4355-CD-VD-QC136520111";;;;
"10089";"4355-CD-VD-QC136520101";;;;
"10090";"4355-LZ-VD-CT1113400236";;;"2050-TTMCP-01541";"RLPP-TCPTM-00226"
"10091";"4355-CD-VD-QC136520121";;;;
"10092";"4355-CD-VD-QC136520001";;;;
"10093";"4355-LZ-VD-CT1113400296";;;"2050-TTMCP-01683";"RLPP-TCPTM-00264"
"10094";"4355-LZ-VD-CT1113400258";;;"2050-TTMCP-01807";
"10095";"4355-CR-VD-SC118920006";;;"2122-TTMCP-02599";
"10096";"4355-CR-VD-SC118920106";;;"2122-TTMCP-02599";
"10097";"4355-CR-VD-SC118920206";;;"2122-TTMCP-02599";
"10098";"4355-CR-VD-SD118920032";;;"2122-TTMCP-02600";
"10099";"4355-CR-VD-SD118920033";;;"2122-TTMCP-02600";
"10100";"4355-CR-VD-SD118920034";;;"2122-TTMCP-02600";
"10101";"4355-CR-VD-SD118920126";;;"2122-TTMCP-02600";
"10102";"4355-CR-VD-SD118920127";;;"2122-TTMCP-02600";
"10103";"4355-LZ-VD-CT1113400259";;;"2050-TTMCP-01683";"RLPP-TCPTM-00264"
"10104";"4355-CR-VD-SD118920128";;;"2122-TTMCP-02600";
"10105";"4355-CR-VD-SD118920226";;;"2122-TTMCP-02600";
"10106";"4355-AI-VD-AE1455521I10PR003IA10";;;"2122-TTMCP-02198";
"10107";"4355-CR-VD-SD118920227";;;"2122-TTMCP-02600";
"10108";"4355-CR-VD-SD118920228";;;"2122-TTMCP-02600";
"10109";"4355-AI-VD-AE1455521I10PR003IA01";;;"2122-TTMCP-02198";
"10110";"4355-AI-VD-AE1455521I10PR003IA03";;;"2122-TTMCP-02198";
"10111";"4355-AI-VD-AE1455521I10PR003IA02";;;"2122-TTMCP-02198";
"10112";"4355-AI-VD-AE1455521I10PR003IA04";;;"2122-TTMCP-02198";
"10113";"4355-AI-VD-AE1455521I10PR003IA06";;;"2122-TTMCP-02198";
"10114";"4355-AI-VD-AE1455521I10PR003IA08";;;"2122-TTMCP-02198";
"10115";"4355-AI-VD-AE1455521I10PR003IA05";;;"2122-TTMCP-02198";
"10116";"4355-AI-VD-AE1455521I10PR003IA07";;;"2122-TTMCP-02198";
"10117";"4355-AI-VD-AE1455521I10PR003IA11";;;"2122-TTMCP-02198";
"10118";"4355-AI-VD-AE1455521I10PR003IA09";;;"2122-TTMCP-02198";
"10119";"4355-AI-VD-AM1455521I10PR003IA02";;;"2122-TTMCP-02200";
"10120";"4355-AI-VD-AM1455521I10PR003IA01";;;"2122-TTMCP-02200";
"10121";"4355-AI-VD-AS1455521I10PR003IA20";;;"2122-TTMCP-02202";
"10122";"4355-FY-VD-QC138000001";;;"2122-TTMCP-02180";"RLPP-TCPTM-00253"
"10123";"4355-AI-VD-AE1455550I10IR007IA02";;;;
"10124";"4355-AI-VD-AE1455550I10IR007IA01";;;;
"10125";"4355-AI-VD-AE1455550I10IR007IA03";;;;
"10126";"4355-AI-VD-AE1455550I10IR007IA04";;;;
"10127";"4355-AI-VD-AE1455550I10IR007IA05";;;;
"10128";"4355-AI-VD-AE1455550I10IR007IA06";;;;
"10129";"4355-AI-VD-AE1455550I10IR007IA08";;;;
"10130";"4355-AI-VD-AE1455550I10IR007IA07";;;;
"10131";"4355-AI-VD-AM1455550I10IR007IA02";;;;
"10132";"4355-AI-VD-AS1455550I10IR007IA20";;;;
"10133";"4355-JK-VD-IS101470038";;;;
"10134";"4355-JK-VD-IB101470012";;;"2122-TTMCP-01607";
"10135";"4355-GP-VD-RD094540096";;;"2122-TTMCP-01957";
"10136";"4355-GP-VD-RD094540095";;;"2122-TTMCP-02002";
"10137";"4355-GP-VD-RD094540098";;;;
"10138";"4355-GP-VD-RD094540099";;;;
"10140";"4355-GP-VD-RD094540100";;;;
"10141";"4355-GP-VD-RD094540102";;;;
"10142";"4355-GP-VD-RM094540093";;;;
"10143";"4355-JK-VD-IB101470005";;;"2122-TTMCP-01607";
"10144";"4355-FY-VD-LG129570001";;;"2122-TTMCP-02038";
"10145";"4355-FY-VD-LG129570002";;;"2122-TTMCP-02038";
"10146";"4355-CR-VD-QP118920003";;;;
"10147";"4355-CR-VD-QP118920002";;;;
"10148";"4355-CR-VD-QP118920007";;;;
"10149";"4355-CR-VD-QP118920005";;;;
"10150";"4355-CR-VD-QP118920001";;;;
"10151";"4355-CR-VD-FO118920002";;;;
"10152";"4355-FY-VD-GS138000014";;;"2122-TTMCP-02179";"RLPP-TCPTM-00283"
"10153";"4355-XH-VD-QC1408000001";;;"2122-TTMCP-01986";"RLPP-TCPTM-00231"
"10154";"4355-XH-VD-QP1408000001";;;;
"10155";"4355-JK-VD-IS101470021";;;;
"10156";"4355-LZ-VD-CT1113400527 Imported at  03-10-2023 11:07:57";;;"2050-TTMCP-01403";"RLPP-TCPTM-00224"
"10157";"4355-LZ-VD-CT1113400526 Imported at  03-10-2023 11:07:58";;;"2050-TTMCP-01403";"RLPP-TCPTM-00224"
"10158";"4355-LZ-VD-CT1113400525 Imported at  03-10-2023 11:08:00";;;"2050-TTMCP-01403";"RLPP-TCPTM-00224"
"10159";"4355-LZ-VD-CT1113400524 Imported at  03-10-2023 11:08:01";;;"2050-TTMCP-01403";"RLPP-TCPTM-00224"
"10160";"4355-LZ-VD-CT1113400523 Imported at  03-10-2023 11:08:04";;;"2050-TTMCP-01401";"RLPP-TCPTM-00222"
"10161";"4355-LZ-VD-CT1113400531 Imported at  03-10-2023 11:08:06";;;"2050-TTMCP-01396";"RLPP-TCPTM-00222"
"10162";"4355-LZ-VD-CT1113400532 Imported at  03-10-2023 11:08:08";;;"2050-TTMCP-01396";"RLPP-TCPTM-00222"
"10163";"4355-LZ-VD-CT1113400529 Imported at  03-10-2023 11:08:10";;;"2050-TTMCP-01401";"RLPP-TCPTM-00222"
"10164";"4355-LZ-VD-CT1113400528 Imported at  03-10-2023 11:08:14";;;"2050-TTMCP-01401";"RLPP-TCPTM-00222"
