Timestamp;Type;ListName;ID;Action;Key;Value;OldValue
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA01;AA;0;;2122-TTMCP-02198;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA01;BB;1;;;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA01;0;2;;;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA01;;3;;;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA01;AA;0;;2122-TTMCP-02198;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA01;BB;1;;;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA01;0;2;;;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA01;;3;;;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA01;AA;0;;2122-TTMCP-02198;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA01;BB;1;;;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA01;0;2;;;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA01;;3;;;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA02;AA;0;;2122-TTMCP-02198;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA02;BB;1;;;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA02;0;2;;;;True
2024-01-18 12:16:49;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA02;;3;;;;True
2024-01-18 12:16:50;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA02;AA;0;;2122-TTMCP-02198;;True
2024-01-18 12:16:50;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA02;BB;1;;;;True
2024-01-18 12:16:50;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA02;0;2;;;;True
2024-01-18 12:16:50;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA02;;3;;;;True
2024-01-18 12:16:50;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA02;AA;0;;2122-TTMCP-02198;;True
2024-01-18 12:16:50;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA02;BB;1;;;;True
2024-01-18 12:16:50;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA02;0;2;;;;True
2024-01-18 12:16:50;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA02;;3;;;;True
2024-01-18 12:16:50;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA03;AA;0;;2122-TTMCP-02198;;True
2024-01-18 12:16:50;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA03;BB;1;;;;True
2024-01-18 12:16:50;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA03;0;2;;;;True
2024-01-18 12:16:50;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA03;;3;;;;True
2024-01-18 12:16:51;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA03;AA;0;;2122-TTMCP-02198;;True
2024-01-18 12:16:51;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA03;BB;1;;;;True
2024-01-18 12:16:51;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA03;0;2;;;;True
2024-01-18 12:16:51;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA03;;3;;;;True
2024-01-18 12:16:51;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA03;AA;0;;2122-TTMCP-02198;;True
2024-01-18 12:16:51;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA03;BB;1;;;;True
2024-01-18 12:16:51;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA03;0;2;;;;True
2024-01-18 12:16:51;[SUCCESS] 4355-AI-VD-AE1455521I10PR001IA03;;3;;;;True
